"filename", "language", "Dart", "comment", "blank", "total"
"d:\Codes\Test\Flutter\qvise\lib\core\shell and tabs\browse_tab.dart", "Dart", -213, 6, -3, -210
"d:\Codes\Test\Flutter\qvise\lib\core\shell and tabs\create_tab.dart", "Dart", 3, 10, 3, 16
"d:\Codes\Test\Flutter\qvise\lib\core\shell and tabs\profile_tab.dart", "Dart", -22, -1, -1, -24
"d:\Codes\Test\Flutter\qvise\lib\core\theme\theme_mode_provider.dart", "Dart", -117, -30, -20, -167
"d:\Codes\Test\Flutter\qvise\lib\features\content\presentation\screens\lesson_screen.dart", "Dart", 698, 12, 50, 760
"d:\Codes\Test\Flutter\qvise\lib\features\content\presentation\screens\unlocked_lesson_screen.dart", "Dart", -3, 5, 10, 12
"d:\Codes\Test\Flutter\qvise\lib\features\content\presentation\widgets\unlocked_lesson_card.dart", "Dart", -68, -4, -2, -74
"d:\Codes\Test\Flutter\qvise\lib\features\files\presentation\widgets\file_list_widget.dart", "Dart", 24, 7, 10, 41
"Total", "-", 302, 5, 47, 354
